address, amount
0xfB76E9be55758d0042e003c1E46E186360F0627e, 1000
0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643, 1000
0xbEbc44782C7dB0a1A60Cb6fe97d0b483032FF1C7, 1000
0x40ec5B33f54e0E8A33A975908C5BA1c14e5BbbDf, 1000
0x467194771dAe2967Aef3ECbEDD3Bf9a310C76C65, 1000
0xC564EE9f21Ed8A2d8E7e76c085740d5e4c5FaFbE, 1000
0xBF293D5138a2a1BA407B43672643434C43827179, 1000
0x4aa42145Aa6Ebf72e164C9bBC74fbD3788045016, 1000
0xF977814e90dA44bFA03b6295A0616a897441aceC, 1000
0x111111111117dC0aa78b770fA6A738034120C302, 1000
